pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
MITOPATHWAYS_Metabolism,Metabolism,MitoPathways,-1.634873,6.52655882e-6,3.45907618e-4,405,Pcx/Sod1/Hadhb/Decr1/Prdx4/Iscu/Mdh2/Mlycd/Msrb3/Acsl6/Hadh/Nit2/Pcbd2/Nudt19/Aldh7a1/Hibadh/Naxe/Nt5dc2/Alas1/Coq10a/Tst/Slc25a42/Crls1/Dut/Lias/Acot10/Bdh1/Triap1/Dbi/Gcsh/Fech/Nit1/Mccc2/Ivd/Uqcrfs1/Pgs1/Slc25a25/Glyctk/Idh3b/Ldhb/Cyb5r3/Eci2/Gpt2/Slc25a29/Coq7/Dhrs1/Bckdha/Aldh18a1/Sdhd/Coasy/Scp2/Fdx1/Slc25a51/Gpx1/Slc25a4/Pank2/Sdhc/Slc25a37/Suclg1/Ogdhl/Hagh/Nudt2/Adhfe1/Phyh/Maoa/Dbt/Slc25a44/Pdp1/Cox11/Grpel2/Gpat2/Arg2/Bckdhb/Ptges2/Bola1/Idh3g/Txn2/Lipt2/Grpel1/Prdx6/Mcee/Sfxn3/Pdhb/Coq8a/Selenoo/Acat1/Slc25a5/Ehhadh/Fth1/Tspo/Hoga1/Coq4/Pdk2/Acsm3/Nudt13/Msra/Zadh2/Gstz1/Slc25a33/Ndufs8/Aldh2/Got2/Fpgs/Suclg2/Ppa2/Comt/Abhd11/Sardh/Slc25a28/Aldh6a1/Cpt1b/Acads/Pccb/Chdh/Slc25a38/Mgst3/Echs1/Hsd17b10/Rdh13/Bphl/Prdx2/Nmnat3/Rsad1/Plscr3/Msrb2/Fhit/Pdk3,Geno_at_37,Down
MITOPATHWAYS_OXPHOS.OXPHOS_subunits,OXPHOS OXPHOS Subunits,MitoPathways,-1.86857163,2.63297299e-4,0.00697737842,66,Ndufs2/Uqcrb/Cox5b/Ndufb8/Ndufs7/Cox4i2/Uqcr10/Atp5pb/Ndufs4/Ndufc2/Ndufb6/Ndufv3/Ndufa3/Cox5a/Ndufa4/Ndufs3/Cox8a/Uqcrfs1/Uqcrq/Ndufa6/Cox7a2l/Sdhd/Ndufa1/Ndufb2/Sdhc/Ndufa5/Ndufb9/Ndufb4/Ndufa10/Dmac2l/Cox6a1/Ndufb5/Ndufb10/Ndufb11/Ndufa2/Cox7b/Ndufs8,Geno_at_37,Down
MITOPATHWAYS_OXPHOS,OXPHOS,MitoPathways,-1.68184111,4.9826497e-4,0.00880268114,129,Ndufa11/Uqcc1/Ndufs2/Uqcrb/Timm21/Cox5b/Ndufb8/Ndufs7/Cox4i2/Uqcr10/Cox18/Atp5pb/Ndufs4/Ndufc2/Tmem186/Ndufb6/Ndufv3/Ndufaf6/Ndufa3/Pnkd/Ndufaf3/Cox5a/Smim20/Ndufa4/Ndufs3/Surf1/Cox8a/Uqcrfs1/Ndufaf5/Uqcrq/Sdhaf1/Ndufa6/Cox7a2l/Sdhd/Cmc2/Ndufa1/Ndufb2/Aifm1/Pet100/Sdhc/Ndufa5/Ndufb9/Tmem126a/Ndufb4/Cox11/Ndufa10/Dmac2l/Ndufaf8/Cox6a1/Dmac1/Ndufb5/Ndufb10/Ndufb11/Ndufa2/Coa3/Cmc1/Cox7b/Ndufs8/Ndufaf4,Geno_at_37,Down
MITOXPLORER_Oxidative_Phosphorylation,Oxidative Phosphorylation,MitoXplorer,-1.63280593,6.02452335e-4,0.0138564037,157,Higd2a/Atp5b/Higd1a/Cisd1/Coa5/Atp5md/Ndufa11/Ptcd2/Uqcc1/Ndufs2/Uqcrb/Cox5b/Ndufb8/Ndufs7/Ndufb1-ps/Tbrg4/Cox4i2/Uqcr10/Cox18/Ndufs4/Ndufc2/Atp5g3/Tmem186/Ndufb6/Ndufv3/Ndufaf6/Ndufa3/Ndufaf3/Cox5a/Coq10a/Ndufa4/Atp5o/Atp5e/Ndufs3/Surf1/Cox8a/Uqcrfs1/Ndufaf5/Uqcrq/Sdhaf1/Ndufa6/Cox7a2l/Sdhd/Ndufa1/Ndufb2/Uqcrh/Sdhc/Ndufa5/Ndufb9/Ndufb4/Atp5g1/Atpif1/Cox11/Atp5h/Ndufa10/Dmac2l/Ndufaf8/Coq8a/Cox6a1/Dmac1/Ndufb5/Ndufb10/Ndufb11/Nipsnap1/Ndufa2/Coa3/Cmc1/Ndufs8/Atp5k/Atp6v1e1/Atp5d/Ndufaf4,Geno_at_37,Down
TRANSPORTDB_MC,MC,TransportDB,-1.76814609,0.00214425672,0.0171540538,44,Slc25a42/Ucp3/Slc25a25/Slc25a29/Slc25a16/Slc25a51/Slc25a4/Slc25a37/Slc25a39/Slc25a44/Slc25a5/Slc25a33/Slc25a17/Mtch2/Slc25a28/Slc25a38/Ucp2,Geno_at_37,Down
HSR_sensitivity,Hsr Sensitivity,HSR_lens,1.4225713,0.0138063454,0.0276126909,148,Hsph1/Casq1/Mtor/Tpr/Tnfrsf21/Lrp11/Ano1/Nf1/Atm/Fkbp4/P2rx3/Hmox1/St13/Ranbp2/Hspa1a/Rpa3/Psip1/Mapk1/Atr/Dnaja4/Bag5/Ptges3/Nup155/Camk2d/Nup160/Nup35/Hspa4l/Chordc1/Stub1/Rpa1/Bag3/Sirt1,Geno_at_37,Up
MITOPATHWAYS_OXPHOS.Complex_I,OXPHOS Complex I,MitoPathways,-1.72472799,0.00233881512,0.0309893004,57,Ndufa11/Ndufs2/Ndufb8/Ndufs7/Ndufs4/Ndufc2/Tmem186/Ndufb6/Ndufv3/Ndufaf6/Ndufa3/Ndufaf3/Ndufs3/Ndufaf5/Ndufa6/Ndufa1/Ndufb2/Aifm1/Ndufa5/Ndufb9/Tmem126a/Ndufb4/Ndufa10/Ndufaf8/Dmac1/Ndufb5/Ndufb10/Ndufb11/Ndufa2/Ndufs8/Ndufaf4,Geno_at_37,Down
MITOPATHWAYS_OXPHOS.Complex_I.CI_subunits,OXPHOS Complex I Ci Subunits,MitoPathways,-1.75703302,0.0033810143,0.0358387516,36,Ndufa11/Ndufs2/Ndufb8/Ndufs7/Ndufs4/Ndufc2/Ndufb6/Ndufv3/Ndufa3/Ndufs3/Ndufa6/Ndufa1/Ndufb2/Ndufa5/Ndufb9/Ndufb4/Ndufa10/Ndufb5/Ndufb10/Ndufb11/Ndufa2/Ndufs8,Geno_at_37,Down
MITOPATHWAYS_Small_molecule_transport.SLC25A_family,Small Molecule Transport Slc25a Family,MitoPathways,-1.68897652,0.00524258535,0.046309504,44,Slc25a42/Ucp3/Slc25a25/Slc25a29/Slc25a16/Slc25a51/Slc25a4/Slc25a37/Slc25a39/Slc25a44/Slc25a5/Slc25a33/Mtch2/Slc25a28/Slc25a38/Ucp2,Geno_at_37,Down
MITOPATHWAYS_Metabolism.Detoxification,Metabolism Detoxification,MitoPathways,-1.65928118,0.00700908585,0.0464351938,43,Prdx3/Sod1/Prdx4/Msrb3/Nit2/Aldh7a1/Tst/Nit1/Cyb5r3/Gpx1/Hagh/Maoa/Txn2/Prdx6/Selenoo/Msra/Gstz1/Aldh2/Bphl/Prdx2/Msrb2,Geno_at_37,Down
