pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,Hallmark,3.16850865,9.6150101e-31,4.8075050499999995e-29,187,Ifi27/Irf7/Helz2/Rnf213/Isg15/Rtp4/Samd9l/Xaf1/Dhx58/Oas2/Eif2ak2/Trim25/Oas3/Mx2/Ifit3/Lgals3bp/Oasl1/Usp18/Ddx58/Adar/Stat2/Ccl5/Pml/Gbp9/Ifih1/Ifi44/Ddx60/Cmpk2/Irf9/Ifit2/Trafd1/Rsad2/Herc6/Parp14/Ogfr/Parp12/Znfx1/Tdrd7/Trim14/Zbp1/Bst2/Casp4/Tapbp/Cd38/Gbp10/Auts2/Pnpt1/Cxcl10/Il2rb/Nfkb1/H2-Q7/Nlrc5/Jak2/Ptpn1/Ifit1bl1/Tap1/Isg20/Sp110/Irf4/Stat1/Nmi/Plscr1/Trim26/Cd86/Cxcl11,Geno_at_39,Up
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,Hallmark,3.30901918,2.51771064e-28,6.29427659e-27,96,Ifi27/Irf7/Helz2/Isg15/Rtp4/Trim12c/Samd9l/Dhx58/Eif2ak2/Trim25/Mx2/Ifit3/Lgals3bp/Oasl1/Usp18/Adar/Stat2/Oas1a/Ifih1/Ifi44/Ddx60/Cmpk2/Irf9/Trim5/Ifit2/Trafd1/Rsad2/Herc6/Parp14/Ogfr/Parp12/Uba7/Parp9/Tdrd7/Trim14/Bst2/Ccrl2/Cd47/Pnpt1/Cxcl10/Sell/H2-Q7/Tap1/Isg20/Sp110/Nmi/Plscr1/Trim26/Cxcl11/Tmem140/Psme2/Tent5a/Lamp3,Geno_at_39,Up
REACTOME_INTERFERON_SIGNALING,Interferon Signaling,Reactome,2.91670774,2.14409352e-21,1.4236781e-18,165,Ifi27/Irf7/Isg15/Trim12c/Xaf1/Oas2/Eif2ak2/Trim25/Oas3/Mx2/Ifit3/Oasl1/Usp18/Ddx58/Adar/Stat2/Oas1a/Pml/Gbp9/Ifih1/Ifi44/Irf9/Trim5/H2-T23/Ifit2/Rsad2/Uba7/Trim14/Bst2/Nup98/Eif4g2/Gbp10/Fkbp5/H2-Q7/Jak2/Pom121/Ptpn1/Furin/Ifit1bl1/Isg20/Irf4/Stat1/Fancc/Trim26/Eif4g1/Nup153,Geno_at_39,Up
GOBP_DEFENSE_RESPONSE_TO_VIRUS,Defense Response to Virus,GO_BP,3.04989369,8.19002452e-22,1.95741586e-18,118,Ifi27/Irf7/Isg15/Rtp4/Trim12c/Dhx58/Oas2/Eif2ak2/Trim25/Oas3/Mx2/Ifit3/Oasl1/Usp18/Ddx58/Adar/Stat2/Oas1a/Pml/Ifih1/Ddx60/Tlr7/Irf9/Trim5/Ifit2/Rsad2/Znfx1/Parp9/Zbp1/Bst2/Kcnj8,Geno_at_39,Up
GOBP_RESPONSE_TO_VIRUS,Response to Virus,GO_BP,2.89671879,7.46748796e-21,8.92364811e-18,168,Ifi27/Irf7/Isg15/Rtp4/Trim12c/Dhx58/Oas2/Eif2ak2/Trim25/Oas3/Mx2/Ifit3/Oasl1/Usp18/Ddx58/Adar/Stat2/Oas1a/Ccl5/Pml/Ifih1/Ifi44/Ddx60/Tlr7/Irf9/Trim5/Ifit2/Rsad2/Znfx1/Parp9/Zbp1/Bst2/Gbf1/Kcnj8/Mtor/Il12rb1/Cxcl10/Nfkb1/Nlrc5/Ifit1bl1/Dhx15/Isg20/Stat1/Clpb/Smad3/Nmi/Plscr1/Trim26/Gata3/Exosc4,Geno_at_39,Up
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Cytokine Signaling in Immune System,Reactome,2.41512849,1.11805087e-19,3.7119288899999995e-17,438,Ifi27/Irf7/Isg15/Trim12c/Xaf1/Oas2/Eif2ak2/Trim25/Oas3/Mx2/Ifit3/Oasl1/Usp18/Ddx58/Adar/Stat2/Oas1a/Ccl5/Pml/Gbp9/Ifih1/Ifi44/Irf9/Trim5/H2-T23/Ifit2/Rsad2/Uba7/Rps6ka3/Serpinb2/Trim14/Bst2/Nup98/Eif4g2/Gbp10/Birc3/Cbl/Ccr5/Cul1/Il12rb1/Cxcl10/Il2rb/Fkbp5/Shc1/Zeb1/Il17rb/Fbxw11/Cd70/Crlf2/Nfkb1/H2-Q7/Nlrc5/Jak2/Pom121/Ccl20/Ptpn1/Furin/Ifit1bl1/Relb/Lcp1/Isg20/Tnfrsf11b/Irf4/Map3k8/Stat1/Fancc/Usp14/Smad3/Trim26/Il11/Eif4g1/Gata3/Sla/Cd86/Nup153/Sos1/Cebpd/Pou2f1/Il1rl2/Tnfsf15/Hif1a/Psme2/Ptpn11/Psmd14/Dusp3/Ppia/Ptpn14/Fasl/Nod1/Adam17/Flna/Il4/Map2k3/Kpnb1/Mapk9/Stat5a/Ubc/Raf1/Eif4a3/Il6/Ifitm3/Hspa1a/Il18bp/H2-Q1/H2-D1/Grb2/Gbp4/Chuk/Nfkb2/Irak2/Il1a/Flnb/Prkaca/Dusp4,Geno_at_39,Up
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,Interferon-alpha beta Signaling,Reactome,3.05014985,1.04164672e-16,2.30551142e-14,57,Ifi27/Irf7/Isg15/Xaf1/Oas2/Eif2ak2/Oas3/Mx2/Ifit3/Oasl1/Usp18/Adar/Stat2/Oas1a/Irf9/H2-T23/Ifit2/Rsad2/Bst2,Geno_at_39,Up
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Regulation of Response to Biotic Stimulus,GO_BP,2.47121527,1.36912854e-14,1.09073907e-11,225,Irf7/Isg15/Trim12c/Dhx58/Eif2ak2/Trim25/Oas3/Oasl1/Usp18/Ddx58/Adar/Stat2/Oas1a/Ccl5/Pml/Ifih1/Ddx60/Tlr7/Trim5/H2-T23/Trafd1/Rsad2/Parp14/Rps6ka3/Znfx1/Parp9/Zbp1/Kcnj8/Birc3/Mfhas1/Ap1g1/Cul1/Il12rb1/H2-Q7/Nlrc5/Gfi1/Ptpn1/Irf4/Arg1/Stat1/Clpb/Smad3/Nmi/Plscr1/Syt11/Ywhag/Ptpn11/Gsdme/Tyro3/Nod1/Ubqln1/Stat5a/Crebbp/Ralb/Prkce/C1qbp/Sfpq/Sec14l1/Aurkb/Hspa1a/H2-Q1/H2-D1/Grb2/Cd160/Chuk/Irak2/Prkca/Xiap,Geno_at_39,Up
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,Regulation of Innate Immune Response,GO_BP,2.56914324,2.0602276e-14,1.23098599e-11,193,Irf7/Isg15/Trim12c/Dhx58/Eif2ak2/Trim25/Oas3/Oasl1/Usp18/Ddx58/Adar/Stat2/Oas1a/Ccl5/Ifih1/Ddx60/Tlr7/Trim5/H2-T23/Trafd1/Rsad2/Parp14/Rps6ka3/Znfx1/Parp9/Zbp1/Kcnj8/Birc3/Mfhas1/Ap1g1/H2-Q7/Nlrc5/Gfi1/Ptpn1/Irf4/Arg1/Clpb/Nmi/Plscr1/Ptpn11/Tyro3/Nod1/Ubqln1/Stat5a/Crebbp/Ralb/Prkce/C1qbp/Sfpq/Sec14l1/Aurkb/Hspa1a/H2-Q1/H2-D1/Grb2/Cd160/Chuk/Irak2,Geno_at_39,Up
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,Cytokine Mediated Signaling Pathway,GO_BP,2.42384553,1.45799957e-13,6.96923795e-11,240,Ifi27/Irf7/Isg15/Oas2/Oas3/Mx2/Oasl1/Usp18/Adar/Stat2/Oas1a/Ccl5/Ifih1/Parp14/Parp9/Zbp1/Casp4/Birc3/Stk39/Ccrl2/Axl/Cbl/Ccr5/Adipor2/Il12rb1/Cxcl10/Il2rb/Il17rb/Cd70/Crlf2/Nfkb1/Nlrc5/Jak2/Ccr4/Gfi1/Ptpn1/Srsf1/Cxcr3/Tnfrsf11b/Arg1/Stat1/Il11/Sos1/Cxcl11/Il1rl2/Inhba/Hif1a/Ptpn11/Pafah1b1/Adam17/Il4/Ptprc/Stat5a/Raf1/Il6/Ifitm3/Jagn1/Hspa1a/Chuk/Irak2/Il1a/Adam10/Xiap/Notch1/Prkaca,Geno_at_39,Up
