pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
Lombardi2022_HIF,Lombardi2022 HIF,Lombardi2022_HIF,2.29784328,1.58513112e-9,1.58513112e-9,100,Fosl2/Sfn/Actg1/Plod2/S100a10/Eno2/Plaur/Hk2/Vegfa/Alkbh5/Cdcp1/Plod1/Insig2/Bhlhe40/Tagln2/Egln3/Anxa2/P4ha1/Slc2a1/Kctd11/Wdr54/Tuba1c/Adm/Fam162a/Ak4/Hilpda/Map2k1/Slc16a3/Plp2/P4ha2/Pfkp/Errfi1/Aldoa/Slc16a1/Ndrg1/Ankrd37/Stc2/Kdm3a/Pfkfb3/Vdac1/Ahnak2/Ddit4/Dars/Mxi1/Pygl/Slc6a8/Ppp1r13l/Fam210a/Mob3a/Fut11/Pgam1/Ppp1r3b/Aldoc,WT_heat,Up
TRANSPORTDB_ABC,Transportdb Abc,TransportDB,-2.30019073,5.05727782e-8,4.04582226e-7,31,Abcb1b/Abcd1/Abcg3/Tap1/Abca7/Abcc4/Abcd4/Abcb10/Abca2/Abcb11/Abcc10/Tap2/Abcb4/Abcg1/Abcg2/Abcc8/Abcc5/Abca1,WT_heat,Down
MITOPATHWAYS_Metabolism,Mitopathways Metabolism,MitoPathways,-1.46650813,3.05064063e-4,0.0161683954,405,Auh/Grhpr/Mcat/Plscr3/Slc25a42/Bckdk/Coq7/Idh2/Aldh4a1/Chchd7/Cpt2/Sdha/Acad8/Mpc2/Fam210b/Mlycd/Pycr2/Prodh/Ndufs2/Pdk1/Pdhb/Slc25a3/Cat/Ehhadh/Hint2/Hibch/Guk1/Abcb7/Oxct1/Aldh18a1/Bdh1/Taz/Acly/Nmnat3/Me2/Tstd1/Hadh/Fech/Mecr/Mpc1/Mccc2/Pdp1/Fasn/Ndufv2/Aldh6a1/Nudt19/Mccc1/Tamm41/Acadm/Acad10/Ogdhl/Mtarc2/Mthfd2l/Acsf2/Dguok/Hadhb/Abcb10/Cbr4/Scp2/Ivd/Hscb/Lypla1/Oat/Tk2/Mmab/Suclg2/Pdk2/Pank2/Aldh3a2/Coq9/Dtymk/Acot2/Coq2/Qdpr/Mmut/Dhrs4/Oxr1/Coq10a/Lias/Crot/Idh3g/Mocs1/Suox/Eci2/Msra/Mthfd1l/Acaa2/Slc25a28/Slc25a5/Sfxn5/Pdha1/Glrx2/Acss1/Slc25a38/Sfxn3/Bckdha/Ndufv1/Dna2/Pccb/Fdps/Sardh/Gcsh/Pdpr/Coq8a/Acat1/Slc25a4/Zadh2/Acsl6,WT_heat,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism.Fatty_acid_oxidation,Mitopathways Metabolism.lipid Metabolism.fatty Acid Oxidation,MitoPathways,-1.79085265,0.00153412469,0.031576489,39,Hadh/Acadm/Acad10/Acsf2/Hadhb/Mmut/Crot/Eci2/Acaa2/Acss1/Pccb/Acat1/Acsl6,WT_heat,Down
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism,Mitopathways Metabolism.carbohydrate Metabolism,MitoPathways,-1.66786868,0.00238313124,0.031576489,65,Auh/Idh2/Sdha/Mpc2/Pdk1/Pdhb/Oxct1/Bdh1/Acly/Me2/Mpc1/Pdp1/Ogdhl/Hadhb/Suclg2/Pdk2/Mmut/Idh3g/Acaa2/Sfxn5/Pdha1/Pccb/Pdpr/Acat1,WT_heat,Down
MITOPATHWAYS_Metabolism.Lipid_metabolism,Mitopathways Metabolism.lipid Metabolism,MitoPathways,-1.58829288,0.001818966,0.031576489,109,Mcat/Plscr3/Cpt2/Mlycd/Ehhadh/Hint2/Taz/Hadh/Mecr/Fasn/Tamm41/Acadm/Acad10/Acsf2/Hadhb/Cbr4/Scp2/Lypla1/Acot2/Mmut/Lias/Crot/Eci2/Acaa2/Acss1/Pccb/Fdps/Gcsh/Acat1/Zadh2/Acsl6,WT_heat,Down
MITOPATHWAYS_Small_molecule_transport,Mitopathways Small Molecule Transport,MitoPathways,-1.60610927,0.0035780546,0.0379273787,75,Romo1/Mpv17l/Micu1/Slc25a42/Sfxn2/Mpc2/Slc25a3/Mpv17/Slc25a27/Abcb7/Abcd1/Mrs2/Mpc1/Slc25a53/Smdt1/Abcb10/Slc8b1/Slc25a16/Micu2/Slc25a28/Slc25a5/Sfxn5/Slc25a38/Sfxn3/Slc25a40/Slc25a45/Slc25a4,WT_heat,Down
MITOPATHWAYS_Metabolism.Amino_acid_metabolism.Branched-chain_amino_acid_metabolism,Mitopathways Metabolism.amino Acid Metabolism.branched-Chain Amino Acid Metab...,MitoPathways,-1.71611411,0.00602537201,0.0456206738,25,Etfa/Ppm1k/Bckdhb/Echs1/Hadha/Bcat2/Auh/Bckdk/Acad8/Hibch/Mccc2/Aldh6a1/Mccc1/Ivd/Bckdha/Acat1,WT_heat,Down
MITOPATHWAYS_OXPHOS.Complex_I.CI_subunits,Mitopathways Oxphos.complex I.ci Subunits,MitoPathways,-1.69127235,0.00525619137,0.0456206738,36,Ndufc2/Ndufa7/Ndufs1/Ndufs8/Ndufb8/Ndufb7/Ndufa11/Ndufa8/Ndufs2/Ndufb10/Ndufv2/Ndufa9/Ndufs3/Ndufa10/Ndufv1/Ndufb2,WT_heat,Down
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,Mitopathways Mitochondrial Central Dogma.mtrna Metabolism.mtrna Granules,MitoPathways,1.64069781,0.0116739629,0.0773400042,28,Grsf1/Noa1/Fastkd1/Dhx30/Mrps7/Pus1/Mrpl47/Eral1/Fastkd2/Alkbh1/Hsd17b10/Ptcd2/Trmt10c/Prorp/Mrm2,WT_heat,Up
MITOPATHWAYS_OXPHOS.Complex_I,Mitopathways Oxphos.complex I,MitoPathways,-1.50393344,0.0173547401,0.102200136,57,Ecsit/Ndufc2/Ndufa7/Ndufs1/Ndufs8/Ndufb8/Lyrm2/Ndufb7/Tmem126b/Tmem126a/Ndufaf7/Ndufa11/Aifm1/Ndufa8/Tmem186/Ndufs2/Ndufb10/Ndufv2/Ndufa9/Foxred1/Ndufs3/Ndufa10/Ndufv1/Dmac2/Acad9/Ndufb2,WT_heat,Down
MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Autophagy,Mitopathways Mitochondrial Dynamics and Surveillance.autophagy,MitoPathways,-1.54953483,0.0328176368,0.171848816,17,Pink1/Park7/Fkbp8/Fundc1/Parl/Stx17/Nipsnap2,WT_heat,Down
MITOPATHWAYS_Metabolism.Metals_and_cofactors,Mitopathways Metabolism.metals and Cofactors,MitoPathways,-1.34790063,0.0356667354,0.171848816,109,Spr/Sirt5/Ndufs1/Sdhb/Abat/Ppox/Ndufs8/Iscu/Sirt4/Bola3/Kyat3/Nudt13/Glrx5/Naxd/Nfu1/Cyc1/Slc25a42/Coq7/Chchd7/Cpt2/Fam210b/Ndufs2/Slc25a3/Abcb7/Nmnat3/Fech/Ndufv2/Nudt19/Mtarc2/Abcb10/Hscb/Pank2/Coq9/Coq2/Qdpr/Coq10a/Lias/Mocs1/Suox/Slc25a28/Glrx2/Slc25a38/Ndufv1/Dna2/Coq8a,WT_heat,Down
MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,Mitopathways Protein Import Sorting and Homeostasis.protein Homeostasis.chape...,MitoPathways,1.50531876,0.0483594186,0.19715763,15,Dnaja3/Hspe1/Hspd1/Timm9/Timm10/Timm8b/Dnlz,WT_heat,Up
