"library_id","genotype","temp","group","gsm_id","gsm_id_positional","mapping_status"
"12630-RS-021","WT","37","WT_37","GSM9705690","GSM9705690","INFERRED"
"12630-RS-022","WT","37","WT_37","GSM9705691","GSM9705691","INFERRED"
"12630-RS-023","WT","37","WT_37","GSM9705692","GSM9705692","INFERRED"
"12630-RS-024","WT","37","WT_37","GSM9705693","GSM9705693","INFERRED"
"12630-RS-025","WT","37","WT_37","GSM9705694","GSM9705694","INFERRED"
"12630-RS-026","cGASKO","37","cGASKO_37","GSM9705700","GSM9705695","INFERRED"
"12630-RS-027","cGASKO","37","cGASKO_37","GSM9705701","GSM9705696","INFERRED"
"12630-RS-028","cGASKO","37","cGASKO_37","GSM9705702","GSM9705697","INFERRED"
"12630-RS-029","cGASKO","37","cGASKO_37","GSM9705703","GSM9705698","INFERRED"
"12630-RS-030","cGASKO","37","cGASKO_37","GSM9705704","GSM9705699","INFERRED"
"12630-RS-031","WT","39","WT_39","GSM9705695","GSM9705700","INFERRED"
"12630-RS-032","WT","39","WT_39","GSM9705696","GSM9705701","INFERRED"
"12630-RS-033","WT","39","WT_39","GSM9705697","GSM9705702","INFERRED"
"12630-RS-034","WT","39","WT_39","GSM9705698","GSM9705703","INFERRED"
"12630-RS-035","WT","39","WT_39","GSM9705699","GSM9705704","INFERRED"
"12630-RS-036","cGASKO","39","cGASKO_39","GSM9705705","GSM9705705","INFERRED"
"12630-RS-037","cGASKO","39","cGASKO_39","GSM9705706","GSM9705706","INFERRED"
"12630-RS-038","cGASKO","39","cGASKO_39","GSM9705707","GSM9705707","INFERRED"
"12630-RS-039","cGASKO","39","cGASKO_39","GSM9705708","GSM9705708","INFERRED"
"12630-RS-040","cGASKO","39","cGASKO_39","GSM9705709","GSM9705709","INFERRED"
