pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,Hallmark,3.09496827,5.90229419e-27,2.9511471e-25,185,Ifi27/Irf7/Isg15/Rnf213/Helz2/Oas2/Dhx58/Samd9l/Rtp4/Xaf1/Trim25/Oas3/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Ccl5/Usp18/Lgals3bp/Stat2/Ifi44/Pml/Tdrd7/Ifit2/Ifih1/Cmpk2/Bst2/Cd86/Irf9/Rsad2/Trim14/Ddx60/Gbp9/Parp14/Herc6/Nfkb1/Znfx1/Parp12/Zbp1/Ogfr/Casp4/Jak2/Gbp10/Trafd1/H2-Q7/Pnpt1/Irf4/Isg20,Geno_main,Up
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon-alpha Response,Hallmark,3.30107237,4.4648945e-26,1.11622362e-24,95,Ifi27/Irf7/Isg15/Helz2/Trim12c/Dhx58/Samd9l/Rtp4/Trim25/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Usp18/Lgals3bp/Stat2/Ifi44/Oas1a/Tdrd7/Trim5/Ifit2/Ifih1/Cmpk2/Bst2/Irf9/Rsad2/Trim14/Ddx60/Parp14/Herc6/Sell/Parp12/Parp9/Ogfr/Ccrl2/Trafd1/H2-Q7/Pnpt1/Uba7/Isg20,Geno_main,Up
GOBP_DEFENSE_RESPONSE_TO_VIRUS,Defense Response to Virus,GO_BP,2.93820231,1.6551726299999997e-17,3.95420742e-14,117,Ifi27/Irf7/Isg15/Trim12c/Oas2/Dhx58/Rtp4/Trim25/Oas3/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Usp18/Stat2/Pml/Oas1a/Trim5/Ifit2/Tlr7/Ifih1/Bst2/Irf9/Rsad2/Ddx60/Znfx1/Parp9/Zbp1/Kcnj8,Geno_main,Up
GOBP_RESPONSE_TO_VIRUS,Response to Virus,GO_BP,2.79349242,7.76920939e-17,9.28032062e-14,167,Ifi27/Irf7/Isg15/Trim12c/Oas2/Dhx58/Rtp4/Trim25/Oas3/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Ccl5/Usp18/Stat2/Ifi44/Pml/Oas1a/Trim5/Ifit2/Tlr7/Ifih1/Bst2/Irf9/Mtor/Rsad2/Ddx60/Nfkb1/Znfx1/Parp9/Gata3/Zbp1/Kcnj8,Geno_main,Up
REACTOME_INTERFERON_SIGNALING,Interferon Signaling,Reactome,2.74345632,5.83224243e-16,3.86677673e-13,164,Ifi27/Irf7/Isg15/Trim12c/Oas2/Xaf1/Trim25/Oas3/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Usp18/Stat2/Ifi44/Pml/Oas1a/Trim5/Ifit2/Ifih1/Bst2/Irf9/Rsad2/Trim14/H2-T23/Gbp9/Jak2/Ncam1/Gbp10/H2-Q7/Fkbp5/Irf4/Uba7/Isg20/Hspa1a/Ptpn11/Fancc/Nup98/Mapk1/Eif4g1/Flnb/Ifit1bl1/Irf6/Nup205/Furin/Ptpn1/Eif4a3/Ube2n,Geno_main,Up
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,Interferon-alpha beta Signaling,Reactome,3.00766023,1.07705562e-14,3.57043938e-12,57,Ifi27/Irf7/Isg15/Oas2/Xaf1/Oas3/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Usp18/Stat2/Oas1a/Ifit2/Bst2/Irf9/Rsad2/H2-T23/H2-Q7/Irf4/Isg20,Geno_main,Up
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,Hallmark,-2.34968323,2.63651321e-13,4.39418868e-12,196,Atp5g1/Ldha/Idh3g/Acadm/Gpx4/Ndufs7/Uqcr11/Atp5j2/Cox10/Ndufb8/Oat/Ndufs4/Pdha1/Atp6ap1/Mdh2/Cox7a2l/Ndufs2/Timm10/Etfb/Alas1/Cox11/Atp6v0b/Casp7/Atp5e/Cyb5a/Phb2/Ndufb5/Sdhc/Atp6v1g1/Ndufb2/Vdac1/Bdh2/Oxa1l/Hadha/Mrps15/Uqcrh/Atp6v1f/Atp5d/Uqcrq/Ndufa6/Ndufb3/Mrpl11/Ndufb4/Vdac2/Ndufa1/Tcirg1/Hadhb/Ndufa4/Idh3b/Grpel1/Aldh6a1/Pdhb/Timm50/Timm9/Cox7c/Ndufs8/Atp5pb/Acadsb/Cpt1a/Cox5b/Suclg1/Atp5g3/Fdx1/Slc25a5/Ndufc2/Ldhb/Mrpl34/Decr1/Got2/Retsat/Ndufv2/Acat1/Ndufb6/Tomm22/Slc25a4/Bckdha/Sdhd/Cox8a/Atp6v0e/Mgst3/Ndufa2/Atp5o/Cox6c/Atp6v1d/Atp5k/Ndufa3/Atp6v1e1/Bax/Echs1/Hsd17b10/Cox7b,Geno_main,Down
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Cytokine Signaling in Immune System,Reactome,2.06685965,3.40777136e-11,7.5311747e-9,436,Ifi27/Irf7/Isg15/Trim12c/Oas2/Xaf1/Trim25/Oas3/Ifit3/Eif2ak2/Oasl1/Mx2/Adar/Ccl5/Usp18/Stat2/Ifi44/Pml/Oas1a/Trim5/Rps6ka3/Ifit2/Ifih1/Bst2/Cd86/Irf9/Rsad2/Trim14/H2-T23/Gbp9/Nfkb1/Map3k8/Gata3/Jak2/Ncam1/Gbp10/Ccr5/H2-Q7/Fkbp5/Irf4/Uba7/Isg20/Akt3/Hspa1a/Il1rl2/Cbl/Dusp4/Ccl20/Serpinb2/Tnfsf15/Ptpn11/Fbxw11/Fancc/Nup98/Mapk1/Cxcl10/Eif4g1/Birc3/Flnb/Cd70/Ifit1bl1/Irf6/Tnfrsf11b/Sla/Nup205/Shc1/Fasl/Nfkb2/Nlrc5/Furin/Pik3cb/Ptpn1/Eif4a3/Ube2n/Tnfrsf4/Sos1/Zeb1/Hmox1/Cul1/Nup153/Il6/Il4/Il1r2/Mapk11,Geno_main,Up
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,Regulation of Innate Immune Response,GO_BP,2.44863937,9.57480838e-12,7.62473908e-9,191,Irf7/Isg15/Trim12c/Dhx58/Trim25/Oas3/Eif2ak2/Oasl1/Adar/Ccl5/Usp18/Stat2/Oas1a/Trim5/Rps6ka3/Tlr7/Ifih1/Rsad2/Ddx60/H2-T23/Parp14/Gfi1/Znfx1/Parp9/Prkce/Zbp1/Kcnj8/Mfhas1/Trafd1/H2-Q7/Irf4/Hspa1a/Sec14l1/Arg1/Xiap/Ptpn11/Ralb/Ap1g1/Birc3/Tyro3/Tomm70a/Nlrc5/Klrd1/Sfpq/Ptpn1,Geno_main,Up
KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,KEGG,-2.43938164,1.46612547e-10,1.92062437e-8,88,Ndufab1/Cox5a/Ndufa8/Atp5c1/Atp5b/Cox6a1/Atp5g1/Ndufs7/Uqcr11/Atp5j2/Cox10/Ndufb8/Ndufs4/Atp6ap1/Cox7a2l/Ndufs2/Cox11/Atp6v0b/Atp5e/Ndufb5/Sdhc/Atp6v1g1/Ndufb2/Uqcrh/Atp6v1f/Atp5d/Uqcrq/Ndufa6/Ndufb3/Ndufb4/Ndufa1/Tcirg1/Ndufa4/Cox7c/Ndufs8/Atp5pb/Cox5b/Atp5g3/Ndufc2/Ndufv3/Ndufv2/Ndufb6/Sdhd/Cox8a/Atp6v0e/Ndufa2/Atp5o/Cox6c/Atp6v1d/Atp5k/Ndufa3/Atp6v1e1/Cox7b,Geno_main,Down
